"","IDDate","SampleNo","Animal.ID","Date","Month","Time","Initials","Assay.date","ul.sample","ul.buffer","NEO.Dilution.factor","NEO.Result..nmol.L.","NEO.DF","Creatinine..mg.ml.","CR.Dilution.factor","CR.DF","NEO.CR","RelRank"
"89","3I242059",132,"3I2",2015-02-24,2,"8:58 AM","CR","10/24/16",10,390,40,0.942,37.68,0.01,10,0.1,95.40576,0.269230769
"90","6I242059",134,"6I2",2015-02-24,2,"11:29 AM","CR","10/24/16",10,390,40,41.914,1676.56,0.132,10,1.32,321.59469,0.634615385
"91","2J942059",135,"2J9",2015-02-24,2,"12:30 PM","CR","12/5/16",10,390,40,5.241,209.64,0.029,10,0.29,183.03741,0.557692308
"92","4I842059",136,"4I8",2015-02-24,2,"1:43 PM","CR","10/24/16",10,390,40,24.639,985.56,0.132,10,1.32,189.04833,0.307692308
"93","6H242059",137,"6H2",2015-02-24,2,"9:51 AM","LR","10/24/16",10,390,40,2.511,100.44,0.011,10,0.11,231.19462,0.326923077
"94","6H242059",138,"6H2",2015-02-24,2,"12:50 PM","LR","10/24/16",10,390,40,3.37,134.8,0.016,10,0.16,213.321,0.326923077
"95","3I542059",139,"3I5",2015-02-24,2,"8:54 AM","LR","10/24/16",10,390,40,2.739,109.56,0.016,10,0.16,173.3787,0.25
"96","5B242059",140,"5B2",2015-02-24,2,"11:30 AM","LR","10/24/16",10,390,40,3.209,128.36,0.016,10,0.16,203.1297,0.153846154
"97","6I142060",141,"6I1",2015-02-25,2,"10:05 AM","LR","10/24/16",10,390,40,2.485,99.4,0.015,10,0.15,167.7872,0.365384615
"98","0J142060",142,"0J1",2015-02-25,2,"9:17 AM","CR","2/15/17",10,90,10,17.664,176.64,0.019,10,0.19,235.39604,0.346153846
"99","6I142060",143,"6I1",2015-02-25,2,"9:47 AM","JH","12/5/16",10,90,10,7.827,78.27,0.014,10,0.14,141.55689,0.365384615
"100","5B242060",144,"5B2",2015-02-25,2,"12:11 PM","CR","10/25/16",10,190,20,7.941,158.82,0.017,10,0.17,236.54838,0.153846154
"101","0J042060",145,"0J0",2015-02-25,2,"1:54 PM","CR","10/25/16",10,190,20,11.171,223.42,0.045,10,0.45,125.71099,0.384615385
"102","0J842061",146,"0J8",2015-02-26,2,"9:35 AM","CR","10/25/16",5,95,20,11.038,220.76,0.051,10,0.51,109.60085,0.615384615
"103","5G242061",147,"5G2",2015-02-26,2,"12:25 PM","CR","10/25/16",10,190,20,4.881,97.62,0.023,10,0.23,107.46689,0.596153846
